,0,1,2
257,0.6268212,1.4892342,1.2133521
258,1.1861584,0.56196105,0.91929114
259,0.47676885,0.97351646,1.2470278
260,2.3409266,0.9167769,0.96314716
261,0.14995497,0.870554,1.3165646
262,0.9315368,0.669441,1.442391
263,0.83210874,1.3288217,0.8847381
264,1.3384888,1.4966729,1.1737794
265,0.7873371,0.99210703,1.3896192
266,0.59540176,0.91946054,0.9741787
267,0.0,0.0,0.9714953
268,0.24815777,0.8917992,1.6478537
269,1.0711,1.0428724,1.1075748
270,1.031769,1.201124,1.2001235
271,0.99229395,0.39560613,1.0804694
272,0.91394377,0.45620006,1.0059114
273,0.93922436,0.87816685,0.3801793
274,0.9357389,0.40217528,1.5702094
275,0.16460505,0.5489743,1.278927
276,1.0303967,0.6549687,0.9046854
277,0.054908693,1.6284466,0.3137486
278,0.9334792,0.9890163,0.44874626
279,1.1446255,0.1722167,0.9898915
280,0.5625096,0.8898479,0.31646204
281,0.8224442,0.65454733,0.61175317
282,1.0793934,0.84721166,1.3203671
283,1.1571758,0.49813455,0.0
284,0.83040303,0.61544514,1.262654
285,0.941306,1.5434499,0.83459795
286,0.66684824,0.0,1.1282486
287,0.79616845,0.90217966,1.0970263
288,0.5438267,0.88751084,0.036516815
289,1.9770062,0.7919978,0.62263846
290,1.5434566,1.0814152,0.52162
291,2.0282784,0.52462184,1.1967493
292,1.3929129,1.1659067,0.7494154
293,1.2561433,0.21962781,0.9311905
294,0.0,0.5726243,1.3231788
295,0.7310765,0.46038046,1.5764221
296,1.3490583,0.55031,1.1812856
297,0.8713907,1.4073608,0.48482114
298,0.4550095,0.39818206,0.56469357
299,1.118821,0.37260556,0.45021772
300,0.49722356,1.1932478,1.4594883
301,1.286057,0.67134213,1.1446072
302,0.9209236,0.76384133,0.50231284
303,0.8731913,0.7505432,1.77484
304,1.1179717,0.8838639,0.32881284
305,1.1336973,0.45683858,0.7508722
306,0.187933,1.049792,1.2033455
307,0.24012092,0.7524649,1.438373
308,1.1521478,1.0031023,1.1369532
309,0.64662427,0.93336874,0.8616253
310,1.2791986,0.8084452,1.060011
311,1.4198341,1.2998421,0.6863336
312,1.3086483,1.3843589,0.72607654
313,0.5661405,0.93205005,0.63835424
314,1.2620182,1.4149349,1.0379794
315,0.5199439,1.4500396,1.0380865
316,0.50282025,1.313977,0.7070082
317,1.0651121,0.77539164,1.1340629
318,0.7825894,1.2631078,0.7182372
319,0.95459497,0.74822587,1.6174775
320,0.72696877,0.13133708,1.9259372
321,0.57602286,0.45626375,0.44324183
322,1.3328044,0.85223335,1.0746292
323,1.3226297,0.6364615,0.0
324,1.6034007,1.7285652,1.2609279
325,1.6840684,1.5745935,1.6030501
326,1.025961,1.7550809,0.9669707
327,0.43067706,0.0,0.45822263
328,0.5032772,0.82050776,1.5793314
329,0.57668287,0.42510703,1.1016077
330,0.49704984,0.5809072,1.2828261
331,0.9974519,0.92562985,0.7272423
332,0.585227,0.9593304,0.5459428
333,0.8440521,0.90852374,0.008609876
334,0.5392203,1.0939107,0.43955964
335,0.48641053,0.14148113,0.6462873
336,1.3343642,0.641993,0.5035661
337,0.35379666,0.25394598,0.97017527
338,1.4764225,0.87939465,0.6549915
339,0.54245806,0.84058696,0.6011646
340,1.4590575,0.42193547,0.24583164
341,1.0526067,1.0214813,0.63093805
342,1.9610074,1.5296278,1.6344036
343,0.26059127,0.03899964,1.426578
344,0.79603195,1.2541878,0.6228864
345,0.93497324,0.6316572,0.46399206
346,0.79483914,1.2831824,0.23146066
347,0.41949618,1.0389763,1.3248228
348,1.2913017,1.5780308,0.17151877
349,0.8748205,0.37949923,0.08426902
350,0.9991597,1.6245522,1.0823771
351,0.59464264,0.3218329,1.4706886
352,0.6902855,0.77743053,1.0528432
353,1.1706626,1.1341455,0.08963448
354,1.6021132,1.1070113,1.937187
355,0.7330088,0.91449475,1.429007
356,0.0,0.41013026,0.34673327
357,0.92072976,1.372114,0.45565218
358,1.0896671,0.9266419,0.7461957
359,1.134861,0.972062,1.6217211
360,1.1264651,1.6026258,1.1558467
361,0.9769131,0.8462786,0.6031432
362,0.49658883,1.5197499,0.12220827
363,1.0684514,0.6962388,0.24404916
364,0.9680636,1.2668593,0.54027784
365,0.8540616,0.14493868,0.11589265
366,0.57221895,0.27331996,0.0
367,0.78979075,0.5763011,1.7022489
368,0.44406763,0.30513877,1.2478721
369,0.8895874,0.4051252,0.5525169
370,1.4045227,1.0720747,1.4148709
371,1.4538283,1.247227,0.5420245
372,0.065659106,0.90585274,1.4684757
373,1.2503554,0.42555985,0.2514081
374,1.6893268,0.17038755,0.9018879
375,0.44934514,0.8473268,0.58113426
376,1.1779664,0.32738972,0.9389286
377,0.9223926,0.57750344,0.5874363
378,0.6754404,0.0,0.97723687
379,0.6905743,0.3747794,0.5351715
380,0.1436072,0.6713249,0.5726664
381,1.5542829,0.7534791,0.703372
382,0.98217803,0.5341756,1.3808442
383,1.2596332,0.42202058,0.0
384,0.25349855,0.7408887,0.33969283
385,1.018118,0.89678735,1.2284411
386,0.68093896,0.694058,0.8824947
387,1.2286885,0.77289987,0.88757885
388,1.6906247,1.1041205,0.97939885
389,0.32519853,0.17673871,0.9587759
390,0.48913014,0.51858485,1.8050437
391,1.3169867,0.4357673,0.0
392,0.73460627,0.8631855,0.34098625
393,1.3222291,0.5921327,0.74365103
394,1.4782661,0.41224808,1.1018146
395,0.95684326,0.3795968,1.1236235
396,0.7672792,0.55118656,1.02829
397,2.123677,0.8479053,0.47405267
