,mean_exp_het,uniq_haps,mean_hap_ct,seg_sites,tajD,adj_LD,mat_sum,uniq_snp_pattern_ct,kelly_z
414,0.26065909090909095,23,1.7391304347826086,165,0.5077868653503611,0.2235010956626069,1405,33,0.17187072879316012
415,0.13545081967213118,27,1.4814814814814814,61,-1.471404137529265,0.09238284976357229,262,32,0.0774384128079226
416,0.1658664772727273,28,1.4285714285714286,88,-1.0080071664311965,0.1015906095271794,623,35,0.1135905357225979
417,0.26359467455621305,25,1.6,169,0.5554312834836864,0.29579553677176723,1876,34,0.29740252277307594
418,0.18512626262626258,29,1.3793103448275863,198,-0.7142844911106785,0.29876632175414825,2182,39,0.2624428304295351
419,0.18035714285714283,25,1.6,112,-0.7827955329446709,0.22848243239530544,1220,31,0.24292119630209782
420,0.2866806722689076,26,1.5384615384615385,119,0.9218838574237204,0.19348679763930748,1168,36,0.2209973853515006
421,0.32668719211822655,27,1.4814814814814814,203,1.5794273848889613,0.3046385838206437,2398,38,0.3098177852046949
422,0.21290094339622637,24,1.6666666666666667,106,-0.26106917579869154,0.1507225989605975,752,31,0.13147662614835653
423,0.19598591549295777,29,1.3793103448275863,142,-0.5352900197687724,0.09345077841163951,816,42,0.09414512648299331
424,0.22763422818791948,28,1.4285714285714286,149,-0.025576053391856573,0.16559082888723128,1106,41,0.14049042316402305
425,0.2043323863636364,27,1.4814814814814814,88,-0.395989109902267,0.10784137520053325,515,35,0.10588997645352388
426,0.1934797297297297,21,1.9047619047619047,111,-0.5724407937869802,0.1341090367269755,877,29,0.15373104714726496
427,0.15058238636363638,26,1.5384615384615385,88,-1.2511871623045816,0.08889987888665134,651,32,0.12164873216305654
428,0.3110995850622406,29,1.3793103448275863,241,1.3298302948742184,0.30958748963202914,2680,39,0.2847440278149117
429,0.32015625000000003,29,1.3793103448275863,264,1.4784804233873514,0.3680974649930702,3281,37,0.36976348976843443
430,0.14131067961165053,27,1.4814814814814814,103,-1.4052191532045994,0.24160078656216863,1108,33,0.1916646637365578
431,0.234404296875,26,1.5384615384615385,128,0.08330562808397918,0.11467646962990656,1005,36,0.15245971079111742
432,0.17684579439252335,30,1.3333333333333333,107,-0.8380575556112833,0.09807230738841365,508,44,0.07937578339335541
433,0.19895604395604397,30,1.3333333333333333,91,-0.4820351229093053,0.14189013754160132,628,39,0.12002006227929365
434,0.20955357142857153,24,1.6666666666666667,70,-0.3103925450989174,0.17148542380186474,407,27,0.12780464531591434
435,0.19535156250000002,28,1.4285714285714286,128,-0.5443079750994181,0.18875655078261994,1034,38,0.17318349796640745
436,0.23133403361344534,27,1.4814814814814814,119,0.033906589728130994,0.1525566465037862,855,36,0.14279438474963174
437,0.3715677966101695,28,1.4285714285714286,236,2.3113287557103583,0.47239714493183377,3412,37,0.4857560239487507
438,0.22699766355140188,28,1.4285714285714286,107,-0.0355706836517938,0.11380173601837551,729,36,0.12097725963070181
439,0.26392137096774193,26,1.5384615384615385,124,0.557272116562946,0.15514185292465643,1055,36,0.17165250775757013
440,0.361884236453202,29,1.3793103448275863,203,2.149789150737512,0.40621114665474656,2690,38,0.4035469230435026
441,0.26262411347517733,28,1.4285714285714286,141,0.5379299444492887,0.19075581769951772,1280,36,0.18489031040107662
442,0.247445652173913,27,1.4814814814814814,115,0.2921576501389522,0.15934976986792398,839,35,0.13790258663885224
443,0.1785037878787879,24,1.6666666666666667,66,-0.7985317079253751,0.14015184432731828,451,33,0.09548108176260411
444,0.2634215328467154,29,1.3793103448275863,137,0.5504454290018657,0.19325164972469075,1197,38,0.18595849443844126
445,0.27963037634408594,29,1.3793103448275863,186,0.8158162127690092,0.25334564297745027,1943,40,0.2523522774409877
446,0.2003925619834711,24,1.6666666666666667,121,-0.46269866675099736,0.14385549893482563,698,35,0.11912697616595899
447,0.17171747967479678,27,1.4814814814814814,123,-0.9232940404881979,0.20859179657287746,945,37,0.15729919802205755
448,0.23757812500000006,25,1.6,96,0.1333258336809937,0.12981172253728304,718,32,0.13904529428161932
449,0.1751369863013699,19,2.1052631578947367,146,-0.8715714125006879,0.1927127642618123,1220,27,0.1820496081983523
450,0.24212936046511624,28,1.4285714285714286,172,0.20864670595492368,0.1683243931550816,1493,39,0.1985232244112291
451,0.2780935251798561,30,1.3333333333333333,139,0.7868199841814559,0.2877624238223989,1566,34,0.2919974631922064
452,0.24545454545454548,28,1.4285714285714286,154,0.26187992363212786,0.16967481550683666,1382,36,0.1758260384992699
453,0.11006097560975615,26,1.5384615384615385,123,-1.913275274707439,0.21687620526248846,1278,37,0.22254260663984482
454,0.2851988636363636,27,1.4814814814814814,132,0.9002291205315243,0.28087679308197344,1379,37,0.2675088056049537
455,0.260625,24,1.6666666666666667,134,0.5052006652192876,0.17147475170646947,1265,34,0.18819842841453197
456,0.41970679012345674,22,1.8181818181818181,243,3.0940738666163052,0.6462967741587504,4037,28,0.6488204646422119
457,0.2091276978417267,23,1.7391304347826086,139,-0.32348336976510134,0.10794059046912528,855,35,0.11607403669296397
458,0.2690972222222222,29,1.3793103448275863,108,0.6382261744799536,0.19205646653513156,1000,37,0.19063340533867415
459,0.11818181818181825,30,1.3333333333333333,121,-1.7822024286670675,0.20399583643677888,1396,40,0.2147283684140058
460,0.20411082474226805,21,1.9047619047619047,97,-0.40069653500662816,0.14384699932539569,895,30,0.13747591229403863
461,0.24129545454545456,23,1.7391304347826086,110,0.19334953714120107,0.16863721790317174,920,30,0.17159555865169465
462,0.09315359477124187,24,1.6666666666666667,153,-2.1947255123636777,0.25357773340847517,1524,31,0.26891186596132644
463,0.2089285714285714,27,1.4814814814814814,119,-0.3255649441482578,0.1304854521036283,754,39,0.10997364963450428
464,0.2570420792079209,19,2.1052631578947367,101,0.4444772439104415,0.2653200965459829,1063,28,0.2598219914961056
465,0.15636363636363643,30,1.3333333333333333,88,-1.1592036508543326,0.16088472441749824,724,38,0.11159421476979926
466,0.1719661458333334,28,1.4285714285714286,96,-0.9133774329632919,0.13225173079345923,455,36,0.08097116104197263
